station,valid,tmpf,relh
ALB,2021-01-19 06:51,24.10,77.21
ALB,2021-01-19 07:51,23.00,80.85
ALB,2021-01-19 08:51,21.90,88.40
ALB,2021-01-19 09:51,21.90,88.40
ALB,2021-01-19 10:51,23.00,91.90
ALB,2021-01-19 11:19,24.10,87.76
ALB,2021-01-19 11:51,24.10,87.76
ALB,2021-01-19 12:22,24.80,85.96
ALB,2021-01-19 12:51,24.10,87.76
ALB,2021-01-19 13:51,26.10,83.89
ALB,2021-01-19 14:51,27.00,80.83
ALB,2021-01-19 15:51,28.90,78.30
ALB,2021-01-19 16:51,30.00,74.87
ALB,2021-01-19 17:51,32.00,72.30
ALB,2021-01-19 18:51,33.00,66.06
ALB,2021-01-19 19:51,34.00,58.56
ALB,2021-01-19 20:51,34.00,58.56
ALB,2021-01-19 21:51,33.00,63.06
ALB,2021-01-19 22:51,32.00,69.04
ALB,2021-01-19 23:29,30.90,78.48
ALB,2021-01-19 23:49,28.40,92.86
ALB,2021-01-19 23:51,28.00,95.97
ALB,2021-01-19 23:59,28.00,95.97
ALB,2021-01-20 00:51,28.00,92.46
ALB,2021-01-20 01:51,28.00,92.46
ALB,2021-01-20 02:51,27.00,80.83
ALB,2021-01-20 03:51,24.10,91.17
ALB,2021-01-20 04:51,27.00,84.66
ALB,2021-01-20 05:51,27.00,84.66
ALB,2021-01-20 06:51,27.00,84.66
ALB,2021-01-20 07:51,28.00,74.67
ALB,2021-01-20 08:51,28.00,77.57
ALB,2021-01-20 09:51,27.00,84.66
ALB,2021-01-20 10:51,26.10,92.01
ALB,2021-01-20 11:07,26.10,95.53
ALB,2021-01-20 11:51,25.00,96.31
ALB,2021-01-20 12:19,26.10,92.01
ALB,2021-01-20 12:34,26.10,92.01
ALB,2021-01-20 12:51,26.10,95.53
ALB,2021-01-20 13:29,26.10,95.53
ALB,2021-01-20 13:51,26.10,95.53
ALB,2021-01-20 14:51,28.00,88.33
ALB,2021-01-20 15:10,28.90,85.14
ALB,2021-01-20 15:51,28.00,81.25
ALB,2021-01-20 16:13,28.90,78.30
